#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf J      H      Ks       Mact
 1   6.65 -0.01  2.50646  1.612 4.036  4.316  9.15  0.029 0.87  9.395  9.854  9.609  9.879 10.114 10.301  9.664  9.793  9.840  9.841  2.506 
 1   6.65  0.19  1.30186  0.379 3.804  4.334  7.95  0.022 0.00 11.772 11.713 11.982 11.653 11.607 11.640 11.835 10.842 10.627 10.597  1.302 
 1   6.71 -0.01  1.34951  0.496 3.826  4.323  8.40  0.025 0.85 11.525 11.491 11.718 11.439 11.405 11.441 11.587 10.653 10.442 10.414  1.350 
 1   6.71  0.09  0.66324 -0.989 3.635  4.733  8.20  0.023 0.00 15.442 15.745 16.828 15.697 15.298 15.066 16.835 13.880 13.218 13.112  0.663 
 1   6.71  0.19  1.29791  0.373 3.803  4.336  8.60  0.026 0.00 12.438 12.382 12.656 12.322 12.275 12.305 12.507 11.505 11.289 11.258  1.298 
 1   6.77  0.35  0.82340 -0.605 3.678  4.615  9.75  0.032 0.83 15.628 15.806 16.716 15.734 15.427 15.258 16.647 14.139 13.562 13.471  0.823 
 1   6.81 -0.03  1.02366 -0.110 3.752  4.513 10.45  0.035 0.00 15.496 15.478 15.929 15.409 15.280 15.246 15.733 14.342 14.000 13.955  1.024 
 1   6.87  0.07  0.74611 -0.772 3.660  4.669  9.25  0.030 0.77 15.613 15.862 16.846 15.807 15.449 15.242 16.813 14.085 13.461 13.362  0.746 
 1   6.87  0.17  4.16467  2.419 4.163  4.238  9.95  0.033 0.92  8.070  9.245  8.929  9.285  9.568  9.813  9.036  9.394  9.476  9.509  4.165 
 1   6.87  0.27  0.88324 -0.460 3.698  4.583  9.70  0.032 0.00 15.621 15.676 16.395 15.592 15.374 15.272 16.239 14.241 13.769 13.697  0.883 
 1   6.91 -0.11  2.58588  1.684 4.057  4.342  9.25  0.030 0.00  9.811 10.473 10.201 10.504 10.757 10.959 10.275 10.483 10.542 10.554  2.586 
 1   6.91  0.15  0.75936 -0.754 3.660  4.659  8.35  0.024 0.00 15.005 15.193 16.120 15.121 14.810 14.640 16.082 13.512 12.911 12.822  0.759 
 1   6.95 -0.11  1.49611  0.727 3.872  4.320  9.30  0.030 0.00 12.251 12.265 12.309 12.234 12.294 12.393 12.238 11.705 11.611 11.592  1.496 
 1   6.95  0.27  7.43646  3.338 4.311  4.161  9.90  0.033 0.00  6.324  8.413  8.036  8.469  8.798  9.097  8.176  8.750  8.866  8.928  7.436 
