Occurrence,Gamma,Tau
0.2323731936241870,-8.33526120755765E-05,-0.3962292410551060
0.2260110450209290,-0.0001310397017650740,-0.34087907982605800
0.23440549926305400,-0.00017709689135074300,-0.37546318175673800
0.2375322654017040,-0.00020808114626576500,-0.2661852803941780
0.2301788546113120,-0.0001425484615159010,-0.3301633449189130
0.22990668989772500,-0.00020836808808071600,-0.3267886826946610
0.23660351482396000,-8.05587316333991E-05,-0.2824905007035770
0.23205134340292200,-0.0001324085901056280,-0.3444607580785090
0.22885663677624900,-0.00012826710121951600,-0.36244702898186600
0.21740107582010500,-8.96841466704535E-05,-0.32132799199485600
0.2260665320899590,-0.00012564542360069500,-0.17897230449416000
0.23288203490875900,-0.00015676430934359300,-0.24660395088688000
0.22609167738560000,-0.00011838576933318200,-0.3103436245577000
0.2320072125509660,-0.00011385073922699300,-0.3102719107121270
0.2251819478934570,-0.00011696474710384500,-0.28776113383519400
0.2159748430253400,-0.00014591844110429100,-0.28884702759786300
0.22219273157177900,-0.00010201787647400000,-0.1268833800236740
0.2276239334962910,-0.00017296299172746400,-0.3083799875517130
0.22183141909126600,-0.00015176417114607100,-0.3591518558443310
0.22712721181489600,-9.86162255514836E-05,-0.1564878168734000
0.23103978201307800,-0.00011826252281822200,-0.23756718310580000
0.220607355963814,-0.000132764017662474,-0.28871378932604500
0.24404963353468800,-0.00015664078362238900,-0.30240567565129300
0.20814816865514300,-0.00011406423166810100,-0.36398990365323500
0.2292964715274370,-0.00012756403417065000,-0.2225254338436500
0.223557132821545,-0.00012784918644054400,-0.3655982766759890
0.23918423986563400,-0.00012440384556222100,-0.2524158911629780
0.2190134579600480,-0.00012002074918773300,-0.4196360741498190
0.21879796201127200,-0.00017147362542502900,-0.2589649363870480
0.23743910345900800,-0.0001600361218356660,-0.28118756478382300
0.22586709421240300,-0.0001284959458170020,-0.25362106899071600
0.23002314453787200,-0.00017081521515870800,-0.30649741996940800
0.22091010625032400,-0.00017809554165124600,-0.29270522293065900
0.23622586724264700,-0.00016194337708462700,-0.3264897479200830
0.22653216040349900,-0.00013826191055484000,-0.33281279359826700
0.23699901570578100,-0.0001574926463903300,-0.36948518861076800
0.23273218132338800,-0.00012455018831977300,-0.31038362225516600
0.23058871339446400,-0.00015944942600256200,-0.34206571062058800
0.2255467992472010,-0.0001593390794933640,-0.3266971896287180
0.23509434150410700,-0.00011788616966717500,-0.28823656229161100
0.2299037562975370,-9.67785758952468E-05,-0.30017657831076500
0.22903296450040700,-0.00012226721036290300,-0.3069602888315860
0.23343864278273600,-0.000155235610970887,-0.400886071203618
0.2285265224236950,-0.00015528887044665600,-0.21417114333057100
0.2419806253624160,-0.00011248164857566900,-0.3113382247839530
0.23083203320529300,-0.00014854116739405500,-0.29332969249777800
0.23045491738863800,-7.47339403642113E-05,-0.3109049790330150
0.2458615638359660,-0.0001265671594943650,-0.3774696693285980
0.224884886869804,-0.00013616470335913300,-0.3675528951865090
0.21589272592278700,-0.00010995184572803900,-0.3077381619134170
0.2253297551018190,-0.00011224394420839400,-0.10683875224775000
0.22909906637322300,-0.00014690543219891700,-0.2505118596655180
0.22888058344244300,-0.00012902038418567900,-0.30072433322602400
0.20975186301709400,-0.00015534467155465300,-0.35441341996263900
0.21002258559043000,-0.00015614036681967900,-0.2582420785994480
0.21879999297746800,-0.00016208596802270700,-0.30275451492943800
0.2221699236708440,-0.00011220500765372300,-0.17791946587792400
0.22610151044546700,-0.00014418518762428700,-0.3158953666177080
0.21159549976305600,-0.00015407217419038400,-0.3409803610241140
0.22610446399957400,-0.00011294004605212100,-0.1914856048323500
0.226784967352297,-0.00010959829427498600,-0.234534359907293
0.22194388966580600,-0.0001516825102576870,-0.27831894329592000
0.23707764221924900,-0.0001520795722744370,-0.27592112313714300
0.22087674036951100,-0.0001270230016764860,-0.3400302074288230
0.22604051054745200,-0.00013337843178802500,-0.2835067496824190
0.22125120987733300,-0.00017797079318080000,-0.37420615760630400
0.23454840762864300,-0.00018583716420996300,-0.3023331357174390
0.22162205412302700,-0.00012848621584210200,-0.37815280634327100
0.22489769043976400,-0.00017084525752908000,-0.262195783063466
0.23697356978713400,-0.00013117978879100900,-0.1657423422320570
0.21868955601523500,-0.0001351420495286340,-0.22328761698463400
0.21667562399984300,-0.00015618109336647100,-0.2787339646428890
0.23689578205876000,-0.00011829505068776100,-0.3226705942497660
0.2311919474670740,-0.00016614071444390300,-0.34341302472697600
0.2287093009761940,-0.00017878940241863800,-0.32021677683854400
0.23880102006975100,-0.00012572740337287300,-0.31451703299115400
0.22278034990345700,-7.79168601130157E-05,-0.2640808348216650
0.22994123772660300,-0.00016464229546149300,-0.38346361849216900
0.22088013567926300,-0.00016865762451300300,-0.36273205077071500
0.2449494275509080,-9.7130564599764E-05,-0.28304148979766500
0.22899815142303300,-6.00490314597299E-05,-0.17429295369208900
