Index,Occurrence,Gamma,Tau
0,0.22089970648856538,-0.000216785844239094,-0.31598059012031904
1,0.20834137668893077,-0.0002666259263738054,-0.5256906460112931
2,0.20724146160154938,-0.00027772625897124024,-0.4081482115230165
3,0.21056842770577605,-0.0002277197953660856,-0.3935140624703775
4,0.20260981516963572,-0.0002501730371838837,-0.3468709760078444
5,0.21174273885775008,-0.0002388747761045994,-0.422225471580282
6,0.21970308905988245,-0.0001974557071248824,-0.35964052340971303
7,0.22211705482587052,-0.00021041201184560652,-0.42125481556596445
8,0.20602902817883795,-0.00028320910915943093,-0.5906328295936687
9,0.22136058467695885,-0.000231687290875461,-0.3245261325606855
10,0.21450089652810717,-0.0001753871461691136,-0.3124112497539115
11,0.2095996412123992,-0.00025394843274535234,-0.3791611009254201
12,0.21448020567934795,-0.0003466611712367643,-0.5047527344899004
13,0.20154815901361872,-0.00029866938531527046,-0.40292898320614207
14,0.21641284388412935,-0.00015367283346038465,-0.341280036388876
15,0.2218214187058382,-0.00021651356643650045,-0.39883584056653265
16,0.2043779201657323,-0.00031158873737561165,-0.35552210057830314
17,0.20527975500870865,-0.0002981359497667103,-0.3539493145973168
18,0.2001140930884378,-0.00021431292562622433,-0.48607345383056066
19,0.2048617759860964,-0.0002762044475608654,-0.3567774639807146
20,0.21174299742382757,-0.0002701778849089231,-0.29621081563865775
21,0.20331252966076796,-0.0002874716278478112,-0.42393583465473483
22,0.21250848409393908,-0.00025376074199818697,-0.44864096006521154
23,0.20586671576774546,-0.00024132843017982152,-0.5163104020836791
24,0.22060670419951023,-0.00021181044829532937,-0.442447716698954
25,0.2112789196374359,-0.0002747752781727558,-0.4521011640007603
26,0.21046479864559225,-0.00023724623606967605,-0.4757291462629029
27,0.21553571474815597,-0.0003216834768591651,-0.37388648803874164
28,0.1972630993965122,-0.00029493258112432306,-0.47871483055031444
29,0.2033916671758212,-0.0002712616554111944,-0.47471613063607077
30,0.19984544103314877,-0.000251753125834675,-0.4736168067827603
31,0.2152836079478076,-0.00026025814628558757,-0.4639118670441573
32,0.2129738521717624,-0.0002827420606619529,-0.5662307407246262
33,0.20736884239168107,-0.0002724369327135307,-0.4629673038629943
34,0.19607222367043126,-0.0002902825364514872,-0.45839532074879835
35,0.21429914647299764,-0.0003011291180429947,-0.4669330217667332
36,0.20021790310010423,-0.00025233104117187164,-0.4036026224634356
37,0.209652057273295,-0.00022749328206533712,-0.5359360985996665
38,0.20549017939165465,-0.0003169424917574687,-0.5067581097992613
39,0.2122959430074723,-0.00022640378989267063,-0.29331199439863853
40,0.21923570443043772,-0.00024365379579452222,-0.3441770456380415
41,0.21277604001450506,-0.00022261235828568605,-0.4999943749497478
42,0.2084815810189649,-0.0003077940921131175,-0.4182532754782108
43,0.21973452202853455,-0.0002473981509980904,-0.381165498395105
44,0.20379852715815527,-0.0002501106556932317,-0.3395311727028375
45,0.20790201225328275,-0.00032445906766016396,-0.45895766363808665
46,0.2235938141891291,-0.00023901547535354155,-0.3507789566570798
47,0.2203167045731731,-0.00022668818538411491,-0.39591514834445685
48,0.2160488259646393,-0.0002772476893826158,-0.4696057430863225
49,0.21278766202658156,-0.00023475245519837874,-0.3044118330950161
50,0.22110075808924173,-0.0001940780224448051,-0.3663560773945167
51,0.20773705705008844,-0.00023743962946480676,-0.44317358375231247
52,0.21633189904581918,-0.00034338020712991555,-0.5181491640210538
53,0.21547859020312665,-0.00025157670870752625,-0.31530202205079294
54,0.21205500344287675,-0.0002285610969073535,-0.3133107120561903
55,0.22470925956598375,-0.0002754319342063785,-0.43716612956422357
56,0.21816192184707972,-0.0002810697620494662,-0.4159498626297018
57,0.201449173289734,-0.000275786173711594,-0.3778739234601821
58,0.20482830545010766,-0.00024955106998791155,-0.4073026021976824
59,0.20720919176350505,-0.00029122380415027557,-0.36785110185816405
60,0.21522022378944244,-0.0002673298650064794,-0.4114037511292656
61,0.20600751850598953,-0.00028545393590830216,-0.39322758332518387
62,0.21313954834069793,-0.00017798717259114895,-0.28049183327336463
