#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf J      H      Ks       Mact
 1   6.65  0.15  0.80675 -0.635 3.675  4.624  8.55  0.025 0.00 14.906 15.034 15.869 14.954 14.685 14.545 15.784 13.455 12.902 12.820  0.807 
 1   6.71 -0.03  1.83353  1.085 3.937  4.311 11.45  0.037 0.00 13.507 13.630 13.500 13.631 13.796 13.947 13.492 13.354 13.355 13.339  1.834 
 1   6.71  0.27  0.84575 -0.551 3.685  4.604  7.95  0.022 0.98 13.383 13.477 14.278 13.394 13.144 13.020 14.170 11.952 11.432 11.354  0.846 
 1   6.81  0.11  1.77720  1.005 3.908  4.262  9.30  0.030 0.00 11.558 11.598 11.539 11.582 11.709 11.843 11.502 11.215 11.185 11.167  1.777 
 1   6.87  0.05  1.50188  0.692 3.852  4.279 11.60  0.037 0.00 14.641 14.631 14.737 14.590 14.619 14.698 14.645 13.980 13.854 13.831  1.502 
 1   6.87  0.53  2.68920  1.690 4.032  4.253 10.25  0.035 0.00 10.795 11.288 11.025 11.317 11.565 11.761 11.097 11.272 11.327 11.335  2.689 
 1   6.91  0.09 23.25361  5.194 4.275  2.628  8.65  0.026 0.00  0.436  2.287  1.939  2.331  2.641  2.923  2.067  2.575  2.679  2.738 21.725 
 1   6.91  0.37  1.11149  0.028 3.762  4.450 10.30  0.035 0.00 15.000 14.949 15.396 14.873 14.763 14.747 15.203 13.867 13.569 13.525  1.111 
 1   6.95  0.37  3.73065  2.237 4.129  4.235 14.20  0.038 0.00 13.376 14.394 14.085 14.433 14.710 14.948 14.190 14.518 14.597 14.627  3.731 
 1   6.97  0.03  0.78612 -0.660 3.675  4.639  9.40  0.031 0.00 15.821 15.954 16.775 15.877 15.608 15.467 16.686 14.377 13.817 13.736  0.786 
 1   7.01 -0.23  1.21842  0.320 3.819  4.426 11.15  0.037 0.00 15.120 15.118 15.324 15.071 15.040 15.078 15.202 14.299 14.097 14.071  1.218 
 1   7.01 -0.19  1.74790  1.047 3.942  4.349  9.35  0.030 0.00 11.503 11.645 11.502 11.648 11.819 11.974 11.499 11.387 11.392 11.377  1.748 
 1   7.01 -0.09  1.99469  1.264 3.975  4.320 10.85  0.036 0.78 12.145 12.340 12.199 12.343 12.509 12.657 12.202 12.065 12.055 12.041  1.995 
 1   7.01  0.11  1.84747  1.069 3.922  4.269  8.95  0.028 0.00 11.047 11.111 11.013 11.103 11.253 11.397 10.991 10.789 10.777 10.760  1.847 
 1   7.03  0.09  1.48341  0.659 3.845  4.277 11.70  0.037 0.00 14.822 14.803 14.934 14.759 14.777 14.849 14.833 14.119 13.980 13.956  1.483 
 1   7.07  0.07  2.02197  1.236 3.958  4.284 12.30  0.038 0.00 13.980 14.162 13.989 14.172 14.363 14.525 14.002 13.959 13.978 13.965  2.022 
 1   7.07  0.35  1.29946  0.374 3.803  4.334  8.95  0.028 0.80 12.479 12.417 12.754 12.350 12.281 12.296 12.590 11.465 11.215 11.178  1.299 
 1   7.11  0.17  3.60114  2.188 4.121  4.234  8.55  0.025 0.00  7.850  8.830  8.524  8.867  9.143  9.376  8.624  8.942  9.019  9.046  3.601 
 1   7.15  0.33  1.46526  0.612 3.833  4.269 12.25  0.038 0.00 15.489 15.439 15.621 15.387 15.387 15.451 15.501 14.705 14.553 14.526  1.465 
 1   7.15  0.53  3.10594  1.940 4.076  4.239  9.70  0.032 0.76  9.300  9.890  9.620  9.918 10.171 10.374  9.698  9.894  9.951  9.962  3.106 
 1   7.17  0.35  4.08123  2.392 4.153  4.214 10.85  0.036 0.00  9.640 10.792 10.473 10.833 11.118 11.365 10.585 10.948 11.031 11.065  4.081 
 1   7.19 -0.07  2.22211  1.426 4.006  4.327 10.85  0.036 0.00 12.054 12.455 12.221 12.479 12.707 12.888 12.269 12.369 12.412 12.409  2.222 
 1   7.19  0.07  2.07976  1.280 3.966  4.288 10.80  0.036 0.90 11.828 11.994 11.836 12.000 12.182 12.340 11.843 11.765 11.776 11.762  2.080 
 1   7.21  0.21  3.27556  2.029 4.090  4.232 10.80  0.036 0.00 10.497 11.316 11.026 11.351 11.617 11.835 11.117 11.383 11.452 11.472  3.276 
 1   7.25  0.05  0.92480 -0.333 3.722  4.570  9.50  0.031 0.72 14.876 14.935 15.578 14.862 14.653 14.554 15.400 13.538 13.063 12.992  0.925 
 1   7.25  0.35  2.42334  1.523 4.001  4.248 10.60  0.036 0.00 11.564 11.912 11.677 11.934 12.165 12.345 11.728 11.828 11.871 11.869  2.423 
 1   7.27 -0.13  0.90987 -0.319 3.730  4.582  9.60  0.032 0.93 14.584 14.605 15.174 14.533 14.355 14.281 14.979 13.308 12.887 12.828  0.910 
 1   7.27 -0.05  2.06868  1.310 3.980  4.310  9.35  0.030 0.00 10.845 11.120 10.911 11.137 11.349 11.521 10.943 10.980 11.012 11.004  2.069 
 1   7.29 -0.05  1.89530  1.148 3.951  4.317 11.65  0.037 0.76 13.256 13.379 13.283 13.373 13.511 13.643 13.266 13.019 12.979 12.961  1.895 
 1   7.31 -0.21  2.35477  1.556 4.041  4.364 10.50  0.035 0.00 11.379 11.967 11.707 11.996 12.240 12.434 11.772 11.944 11.997 12.004  2.355 
 1   7.31  0.11  0.81260 -0.611 3.679  4.622  9.50  0.031 0.00 15.798 15.917 16.724 15.838 15.578 15.444 16.622 14.364 13.822 13.743  0.813 
 1   7.31  0.25  1.91393  1.113 3.924  4.248  8.25  0.024 0.94  9.600  9.634  9.555  9.621  9.761  9.903  9.526  9.286  9.267  9.249  1.914 
 1   7.31  0.37  1.39958  0.525 3.821  4.288  9.40  0.031 0.88 12.399 12.334 12.598 12.272 12.236 12.275 12.452 11.486 11.286 11.255  1.400 
 1   7.33 -0.09  1.62732  0.885 3.900  4.311 11.15  0.037 0.00 13.708 13.755 13.722 13.736 13.845 13.969 13.675 13.324 13.279 13.260  1.627 
 1   7.33 -0.07  0.95106 -0.250 3.736  4.557  8.45  0.025 0.00 13.844 13.835 14.346 13.764 13.612 13.559 14.146 12.622 12.242 12.190  0.951 
 1   7.33 -0.07  0.88055 -0.398 3.717  4.597 10.40  0.035 0.98 15.470 15.503 16.111 15.430 15.239 15.156 15.922 14.165 13.725 13.663  0.881 
 1   7.33  0.01  1.02859 -0.106 3.754  4.517 10.05  0.034 0.00 15.086 15.063 15.511 14.994 14.868 14.837 15.316 13.937 13.600 13.555  1.029 
 1   7.33  0.11  1.98829  1.195 3.947  4.275 11.05  0.037 0.00 12.832 12.972 12.818 12.977 13.158 13.315 12.821 12.737 12.749 12.734  1.988 
 1   7.33  0.23  0.60237 -1.160 3.615  4.782  7.80  0.021 0.71 15.124 15.616 16.888 15.670 15.068 14.702 16.863 13.445 12.798 12.664  0.602 
 1   7.35 -0.13  1.05132 -0.016 3.769  4.497 10.50  0.035 0.00 15.311 15.292 15.675 15.229 15.124 15.107 15.495 14.237 13.931 13.892  1.051 
 1   7.35  0.39  0.59727 -1.172 3.613  4.786  7.45  0.019 0.00 15.150 15.610 16.840 15.646 15.080 14.742 16.825 13.496 12.818 12.699  0.597 
 1   7.37  0.15  5.11296  2.794 4.212  4.148  9.05  0.029 0.00  6.834  8.354  8.012  8.400  8.700  8.967  8.134  8.576  8.671  8.714  5.113 
 1   7.39 -0.09  1.06594 -0.000 3.769  4.487 10.15  0.034 0.94 14.319 14.298 14.710 14.233 14.118 14.094 14.523 13.210 12.888 12.846  1.066 
 1   7.39 -0.05  0.60739 -1.106 3.625  4.774  8.00  0.022 0.00 15.536 15.870 17.006 15.829 15.404 15.153 17.017 13.954 13.281 13.167  0.607 
 1   7.39  0.01  1.81906  1.057 3.928  4.298  8.90  0.028 0.00 11.028 11.114 11.001 11.109 11.265 11.413 10.985 10.810 10.803 10.787  1.819 
 1   7.39  0.23  3.24033  2.014 4.085  4.221  8.70  0.026 0.00  8.436  9.216  8.924  9.250  9.516  9.734  9.015  9.281  9.350  9.370  3.240 
 1   7.41 -0.01  1.32061  0.454 3.820  4.333  9.80  0.033 0.00 13.435 13.409 13.614 13.359 13.336 13.380 13.490 12.607 12.415 12.389  1.321 
 1   7.43 -0.19  1.02188 -0.055 3.767  4.516 10.40  0.035 0.00 15.308 15.293 15.681 15.231 15.123 15.103 15.500 14.229 13.918 13.878  1.022 
 1   7.43 -0.09  1.04942 -0.035 3.764  4.497  9.90  0.033 0.90 14.256 14.243 14.685 14.176 14.048 14.014 14.495 13.111 12.768 12.722  1.049 
 1   7.43  0.21  1.92510  1.124 3.925  4.247  9.65  0.032 0.00 11.611 11.678 11.570 11.672 11.827 11.975 11.553 11.372 11.365 11.348  1.925 
 1   7.43  0.23  3.28847  2.040 4.089  4.215 14.45  0.038 0.88 13.603 14.336 14.054 14.369 14.630 14.840 14.140 14.377 14.441 14.458  3.288 
