#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf J      H      Ks       Mact
 1   6.65 -0.09  0.86494 -0.431 3.714  4.607  9.25  0.030 0.87 14.652 14.720 15.392 14.646 14.428 14.323 15.231 13.296 12.805 12.735  0.865 
 1   6.65 -0.03  0.69656 -0.879 3.650  4.705  8.55  0.025 0.00 15.518 15.748 16.723 15.681 15.345 15.156 16.715 14.004 13.365 13.271  0.697 
 1   6.71 -0.09  1.04277 -0.050 3.762  4.502 10.25  0.035 0.00 15.145 15.125 15.534 15.060 14.947 14.923 15.348 14.041 13.722 13.680  1.043 
 1   6.71  0.13  1.32284  0.424 3.811  4.327  8.90  0.028 0.00 12.610 12.563 12.805 12.507 12.472 12.511 12.667 11.724 11.522 11.493  1.323 
 1   6.87  0.45  1.43547  0.572 3.827  4.278 10.45  0.035 0.72 13.589 13.528 13.780 13.466 13.437 13.480 13.642 12.691 12.491 12.457  1.435 
 1   6.87  0.51  1.38541  0.503 3.818  4.296 10.90  0.036 0.84 14.034 13.964 14.253 13.898 13.855 13.891 14.100 13.093 12.888 12.853  1.385 
 1   6.91  0.15  0.73407 -0.818 3.653  4.678  8.85  0.027 0.00 15.666 15.888 16.865 15.820 15.486 15.300 16.850 14.152 13.527 13.433  0.734 
 1   6.91  0.57  3.75495  2.247 4.131  4.236 11.05  0.037 0.00 10.202 11.216 10.903 11.255 11.536 11.777 11.013 11.349 11.430 11.461  3.755 
 1   6.95 -0.05  1.38988  0.568 3.840  4.317  8.95  0.028 0.00 12.300 12.283 12.425 12.240 12.247 12.313 12.322 11.573 11.419 11.396  1.390 
 1   6.95  0.21  1.81710  1.028 3.906  4.239  9.15  0.029 0.00 11.350 11.375 11.323 11.357 11.483 11.617 11.284 10.987 10.956 10.938  1.817 
 1   6.95  0.31  2.10130  1.273 3.955  4.256  9.20  0.029 0.00 10.788 10.938 10.765 10.946 11.140 11.305 10.779 10.741 10.762 10.749  2.101 
 1   6.95  0.33  1.54660  0.716 3.848  4.251  6.70  0.014 0.72  9.473  9.410  9.579  9.358  9.364  9.429  9.466  8.679  8.515  8.486  1.547 
 1   7.01 -0.25  0.80267 -0.530 3.706  4.642  9.60  0.032 0.78 15.384 15.486 16.190 15.418 15.176 15.052 16.032 14.000 13.480 13.402  0.803 
 1   7.03  0.05  1.52223  0.717 3.857  4.278 11.95  0.038 0.00 14.927 14.920 15.012 14.881 14.918 15.002 14.924 14.291 14.174 14.151  1.522 
 1   7.03  0.31  1.57050  0.746 3.853  4.247 11.75  0.038 0.74 14.420 14.381 14.544 14.331 14.339 14.404 14.433 13.656 13.497 13.468  1.570 
 1   7.07 -0.09  1.00532 -0.129 3.752  4.525 10.50  0.035 0.00 15.593 15.578 16.025 15.510 15.381 15.346 15.830 14.443 14.101 14.055  1.005 
 1   7.07  0.17  1.12474  0.058 3.766  4.443 10.00  0.034 0.83 14.262 14.238 14.704 14.165 14.038 14.005 14.517 13.096 12.754 12.705  1.125 
 1   7.09 -0.19  1.05250  0.010 3.775  4.498 11.20  0.037 0.00 15.946 15.930 16.286 15.869 15.773 15.764 16.112 14.906 14.614 14.577  1.052 
 1   7.09 -0.05  2.57880  1.667 4.048  4.321 14.75  0.038 0.93 14.731 15.302 15.042 15.331 15.575 15.768 15.108 15.278 15.331 15.338  2.579 
 1   7.11  0.35  1.44849  0.590 3.830  4.274 11.70  0.037 0.00 14.995 14.941 15.134 14.887 14.883 14.945 15.010 14.193 14.036 14.009  1.448 
 1   7.15  0.09  0.93904 -0.310 3.723  4.560 10.40  0.035 0.00 15.944 15.953 16.534 15.876 15.704 15.634 16.335 14.666 14.257 14.199  0.939 
 1   7.17 -0.01  1.05900 -0.043 3.760  4.490  9.85  0.033 0.70 14.539 14.544 15.019 14.476 14.333 14.285 14.841 13.354 12.969 12.915  1.059 
 1   7.19  0.27  0.87118 -0.489 3.694  4.590  9.50  0.031 0.94 14.890 14.982 15.766 14.899 14.655 14.533 15.645 13.471 12.959 12.881  0.871 
 1   7.23  0.45  2.34239  1.465 3.990  4.249 10.75  0.036 0.00 11.857 12.151 11.928 12.170 12.394 12.572 11.972 12.046 12.084 12.080  2.342 
 1   7.25 -0.11  1.11152  0.104 3.783  4.458  8.70  0.026 0.00 13.211 13.180 13.509 13.121 13.039 13.041 13.344 12.200 11.927 11.893  1.112 
 1   7.25  0.03  0.95804 -0.257 3.733  4.555  9.55  0.031 0.00 14.962 14.957 15.490 14.884 14.727 14.670 15.290 13.725 13.339 13.286  0.958 
 1   7.27 -0.15  1.06115  0.012 3.773  4.491  8.75  0.027 0.00 13.489 13.461 13.823 13.400 13.304 13.294 13.648 12.435 12.141 12.104  1.061 
 1   7.27 -0.05  0.95650 -0.244 3.736  4.553  9.75  0.032 0.98 14.417 14.416 14.939 14.345 14.189 14.132 14.738 13.188 12.802 12.749  0.957 
 1   7.27  0.13  6.41282  3.172 4.271  4.102 11.20  0.037 0.98  7.322  9.190  8.830  9.241  9.556  9.839  8.962  9.471  9.576  9.628  6.413 
 1   7.29 -0.23  0.92536 -0.251 3.743  4.575 10.55  0.036 0.00 15.948 15.949 16.425 15.883 15.737 15.689 16.226 14.765 14.399 14.349  0.925 
 1   7.31 -0.07  0.97322 -0.203 3.742  4.544 10.15  0.034 0.98 14.726 14.722 15.221 14.652 14.503 14.452 15.021 13.521 13.148 13.097  0.973 
 1   7.37  0.21  0.87599 -0.477 3.696  4.587  7.95  0.022 0.00 13.913 13.969 14.691 13.887 13.665 13.561 14.541 12.526 12.044 11.972  0.876 
 1   7.39 -0.17  1.73801  1.031 3.937  4.340  9.95  0.033 0.00 12.142 12.269 12.140 12.270 12.434 12.585 12.131 11.990 11.990 11.974  1.738 
 1   7.39 -0.15  4.32219  2.529 4.194  4.266 14.10  0.038 0.00 12.547 14.001 13.675 14.044 14.333 14.590 13.785 14.184 14.272 14.309  4.322 
 1   7.39 -0.09  1.19953  0.260 3.802  4.410  8.60  0.026 0.00 12.720 12.689 12.952 12.634 12.582 12.605 12.809 11.799 11.568 11.539  1.200 
 1   7.39 -0.05  0.72834 -0.792 3.662  4.686  9.40  0.031 0.97 15.472 15.673 16.594 15.603 15.289 15.116 16.557 13.983 13.369 13.279  0.728 
 1   7.39  0.21  3.00063  1.888 4.064  4.230 12.15  0.038 0.00 12.199 12.881 12.603 12.913 13.171 13.376 12.685 12.908 12.970 12.984  3.001 
 1   7.39  0.29  1.60309  0.787 3.860  4.241 12.05  0.038 0.00 14.852 14.822 14.915 14.781 14.827 14.918 14.824 14.216 14.113 14.089  1.603 
 1   7.39  0.47  0.82213 -0.607 3.677  4.616  9.00  0.028 0.77 14.978 15.161 16.082 15.092 14.776 14.600 16.012 13.477 12.903 12.810  0.822 
 1   7.39  0.55  1.29679  0.371 3.802  4.334  9.80  0.033 0.92 13.088 13.012 13.344 12.942 12.882 12.907 13.177 12.092 11.868 11.833  1.297 
 1   7.41  0.01  1.14578  0.133 3.781  4.436 10.90  0.036 0.00 15.338 15.306 15.650 15.245 15.161 15.161 15.480 14.316 14.043 14.007  1.146 
 1   7.41  0.33  1.47847  0.631 3.835  4.263  8.95  0.028 0.00 12.143 12.086 12.256 12.034 12.040 12.109 12.140 11.368 11.222 11.195  1.478 
 1   7.41  0.35  1.26012  0.305 3.794  4.355  7.90  0.021 0.88 11.450 11.381 11.738 11.311 11.235 11.246 11.566 10.409 10.154 10.117  1.260 
 1   7.43 -0.11  0.57923 -1.163 3.621  4.794  8.10  0.023 0.71 15.433 15.830 17.042 15.825 15.326 15.024 17.034 13.804 13.162 13.031  0.579 
 1   7.43  0.19  2.03268  1.219 3.944  4.250 12.20  0.038 0.97 13.233 13.347 13.209 13.348 13.521 13.674 13.206 13.088 13.093 13.078  2.033 
 1   7.45 -0.05  3.04849  1.951 4.093  4.290 10.30  0.035 0.00 10.194 11.050 10.762 11.084 11.348 11.566 10.848 11.112 11.180 11.199  3.048 
 1   7.45 -0.05  2.06321  1.306 3.979  4.307 10.80  0.036 0.00 12.305 12.578 12.373 12.596 12.805 12.976 12.403 12.432 12.463 12.454  2.063 
 1   7.45  0.39  1.28247  0.345 3.799  4.342 11.90  0.038 0.00 15.807 15.743 16.049 15.677 15.624 15.652 15.889 14.846 14.629 14.596  1.282 
 1   7.45  0.57  2.06809  1.248 3.949  4.250 10.55  0.036 0.00 12.201 12.320 12.161 12.325 12.514 12.677 12.169 12.108 12.125 12.111  2.068 
 1   7.47 -0.15  1.06214  0.015 3.774  4.490 10.35  0.035 0.00 15.083 15.062 15.425 15.001 14.903 14.892 15.249 14.032 13.738 13.700  1.062 
 1   7.47  0.11  1.01473 -0.148 3.745  4.516  6.75  0.015 0.00 11.889 11.852 12.340 11.778 11.643 11.605 12.142 10.689 10.338 10.289  1.015 
 1   7.49 -0.13  1.02915 -0.064 3.763  4.511  9.55  0.031 0.00 14.479 14.458 14.864 14.394 14.281 14.258 14.678 13.376 13.057 13.016  1.029 
 1   7.49 -0.09  0.98121 -0.179 3.746  4.539  9.55  0.031 0.00 14.768 14.756 15.227 14.687 14.549 14.506 15.029 13.590 13.233 13.185  0.981 
