#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf J      H      Ks       Mact
 1   6.65  0.41  4.05949  2.373 4.155  4.240 12.30  0.038 0.00 11.138 12.298 11.977 12.340 12.625 12.874 12.091 12.458 12.543 12.577  4.059 
 1   6.71  0.51  1.28877  0.355 3.800  4.341  9.20  0.029 0.00 13.084 13.003 13.308 12.935 12.886 12.920 13.147 12.120 11.912 11.879  1.289 
 1   6.77  0.01  1.68316  0.923 3.900  4.287  9.20  0.029 0.83 11.266 11.281 11.304 11.253 11.327 11.430 11.240 10.748 10.658 10.637  1.683 
 1   6.77  0.01  0.90480 -0.368 3.718  4.583 10.15  0.034 0.00 15.840 15.862 16.458 15.787 15.605 15.528 16.264 14.547 14.120 14.060  0.905 
 1   6.81  0.41  1.52959  0.695 3.845  4.254  9.75  0.032 0.75 12.546 12.489 12.681 12.434 12.432 12.492 12.560 11.734 11.566 11.536  1.530 
 1   6.87  0.07  1.22327  0.269 3.795  4.382 11.85  0.038 0.00 15.947 15.911 16.210 15.852 15.788 15.805 16.054 14.986 14.745 14.712  1.223 
 1   6.87  0.19  1.11509  0.036 3.763  4.448 11.35  0.037 0.72 15.827 15.820 16.302 15.747 15.610 15.569 16.123 14.644 14.276 14.222  1.115 
 1   6.91  0.09  5.62992  2.906 4.248  4.220 11.90  0.038 0.00  9.404 11.157 10.806 11.206 11.513 11.790 10.932 11.411 11.511 11.559  5.630 
 1   6.91  0.19  1.05603 -0.079 3.749  4.485  9.60  0.032 0.00 14.568 14.536 15.016 14.461 14.331 14.297 14.816 13.389 13.053 13.005  1.056 
 1   6.91  0.47  1.09939  0.005 3.759  4.458  7.40  0.018 0.00 12.157 12.087 12.548 12.008 11.898 11.884 12.354 11.003 10.706 10.661  1.099 
 1   6.95 -0.01  0.68499 -0.915 3.645  4.715  7.75  0.020 0.00 14.808 15.055 16.062 14.993 14.641 14.441 16.060 13.279 12.633 12.536  0.685 
 1   7.01 -0.17  5.87102  2.992 4.276  4.265  7.95  0.022 0.98  4.536  6.457  6.095  6.507  6.822  7.107  6.224  6.738  6.843  6.895  5.871 
 1   7.03 -0.09  1.04933 -0.036 3.764  4.498  9.65  0.032 0.00 14.510 14.487 14.889 14.422 14.312 14.291 14.703 13.412 13.098 13.057  1.049 
